layer,head,prompt_format,relation,response_type,task_type,language,relation_verbal,relation_abstract
0,0,0.81399654469214,0.13899869840452161,0.357476036354045,0.5007121485407999,0.003598834087893025,0.004406764104557377,-0.0017141621494576244
0,1,0.8113335031082903,0.15393708790092492,0.3954747545500976,0.4990740368291499,0.04991392502577052,0.015063434777603186,-0.0012804866669833726
0,2,0.8108382445358052,0.14442367213333612,0.40713937174228065,0.570217922282947,0.05872739933057607,0.03873077399455724,0.0007209485949140232
0,3,0.814508010009064,0.14387099941514053,0.3676258193899254,0.501034223904855,0.008262353069759237,0.00736150306095843,-0.002568351727757442
0,4,0.8121792385556701,0.09253239679644906,0.4486253671003683,0.6584407603383385,0.06619398745377633,0.006772249646996786,-0.0024155043225611095
0,5,0.35675333814264476,0.2221088124322237,0.2575255266969077,0.4976847687802939,0.08388380394580698,0.04756871382709502,0.0011813454251071922
0,6,0.8081548011460378,0.17868005339401366,0.4397288662322087,0.5097455331853221,0.12420477731678271,0.0775717133378985,-0.0013999178415518793
0,7,0.6857879055385214,0.18814399924082925,0.3934297807029722,0.49832393199515274,0.11349356970636043,0.05915898275837845,-0.0019435241903171616
0,8,0.7442287265965554,0.08496241722253892,0.2775259293776817,0.5819083579678199,0.1004748605689128,0.010327881083141872,-0.0028146873189397762
0,9,0.7387909367113193,0.12795288857882117,0.32682657937406007,0.6530481187185418,0.15021012950878276,0.05747575671564589,-0.0012332281320188876
0,10,0.1407553800506195,0.18123824320818305,0.16073018843790887,0.45712960105725475,0.15003800984604007,0.04614063507716475,-0.0008606800417697207
0,11,0.7954168780216568,0.07867827156554835,0.29011459615327995,0.44396057590276,0.014526577201179319,0.012042569159421673,0.0006028870106572058
0,12,0.8083739147139107,0.13050835478665024,0.3986782347515013,0.6081019044946293,0.12911730222887716,0.06377591989655937,-0.0020121123456070555
0,13,0.7052808934902104,0.11957024882150388,0.35699454045859597,0.6041300683983573,0.04525002717757056,0.03728626936033354,-0.00251455503148797
0,14,0.7327778527485734,0.1246858886066282,0.34434879840304783,0.6713927310519258,0.10135853514701328,0.07504313418019733,-0.0012172141992807086
